Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,17/09/2024 16:45,Juventus Stadium,Juventus,PSV,3 - 1
2,1,17/09/2024 16:45,Stadion Wankdorf,Young Boys,Aston Villa,0 - 3
3,1,17/09/2024 19:00,Fußball Arena München,Bayern München,GNK Dinamo,9 - 2
4,1,17/09/2024 19:00,Stadio San Siro,Milan,Liverpool,1 - 3
5,1,17/09/2024 19:00,Estadio Santiago Bernabéu,Real Madrid,Stuttgart,3 - 1
6,1,17/09/2024 19:00,Estádio José Alvalade,Sporting CP,Lille,2 - 0
7,1,18/09/2024 16:45,Stadio Renato Dall'Ara,Bologna,Shakhtar,
8,1,18/09/2024 16:45,Stadion Letná,Sparta Praha,Salzburg,
9,1,18/09/2024 19:00,Jan Breydelstadion,Club Brugge,B. Dortmund,
10,1,18/09/2024 19:00,Celtic Park,Celtic,S. Bratislava,
11,1,18/09/2024 19:00,City of Manchester Stadium,Man City,Inter,
12,1,18/09/2024 19:00,Parc des Princes,Paris,Girona,
13,1,19/09/2024 16:45,Stadion Rajko Mitic,Crvena Zvezda,Benfica,
14,1,19/09/2024 16:45,Stadion Feijenoord 'De Kuip',Feyenoord,Leverkusen,
15,1,19/09/2024 19:00,Stadio di Bergamo,Atalanta,Arsenal,
16,1,19/09/2024 19:00,Estadio Metropolitano,Atleti,Leipzig,
17,1,19/09/2024 19:00,Stade Louis II,Monaco,Barcelona,
18,1,19/09/2024 19:00,Stade du Roudourou,Brest,Sturm Graz,
19,2,01/10/2024 16:45,Stadion Salzburg,Salzburg,Brest,
20,2,01/10/2024 16:45,Arena Stuttgart,Stuttgart,Sparta Praha,
21,2,01/10/2024 19:00,Stadio San Siro,Inter,Crvena Zvezda,
22,2,01/10/2024 19:00,BVB Stadion Dortmund,B. Dortmund,Celtic,
23,2,01/10/2024 19:00,Estadi Olímpic Lluís Companys,Barcelona,Young Boys,
24,2,01/10/2024 19:00,BayArena,Leverkusen,Milan,
25,2,01/10/2024 19:00,Arsenal Stadium,Arsenal,Paris,
26,2,01/10/2024 19:00,PSV Stadion,PSV,Sporting CP,
27,2,01/10/2024 19:00,Národný futbalový štadión,S. Bratislava,Man City,
28,2,02/10/2024 16:45,Arena AufSchalke,Shakhtar,Atalanta,
29,2,02/10/2024 16:45,Estadi Municipal de Montilivi,Girona,Feyenoord,
30,2,02/10/2024 19:00,Anfield,Liverpool,Bologna,
31,2,02/10/2024 19:00,RB Arena,Leipzig,Juventus,
32,2,02/10/2024 19:00,Estádio do SL Benfica,Benfica,Atleti,
33,2,02/10/2024 19:00,Stadion Maksimir,GNK Dinamo,Monaco,
34,2,02/10/2024 19:00,Stade Pierre Mauroy,Lille,Real Madrid,
35,2,02/10/2024 19:00,Villa Park,Aston Villa,Bayern München,
36,2,02/10/2024 19:00,Wörthersee Stadion,Sturm Graz,Club Brugge,
37,3,22/10/2024 16:45,Stadio San Siro,Milan,Club Brugge,
38,3,22/10/2024 16:45,Stade Louis II,Monaco,Crvena Zvezda,
39,3,22/10/2024 19:00,Parc des Princes,Paris,PSV,
40,3,22/10/2024 19:00,Juventus Stadium,Juventus,Stuttgart,
41,3,22/10/2024 19:00,Arsenal Stadium,Arsenal,Shakhtar,
42,3,22/10/2024 19:00,Villa Park,Aston Villa,Bologna,
43,3,22/10/2024 19:00,Estadi Municipal de Montilivi,Girona,S. Bratislava,
44,3,22/10/2024 19:00,Wörthersee Stadion,Sturm Graz,Sporting CP,
45,3,22/10/2024 19:00,Estadio Santiago Bernabéu,Real Madrid,B. Dortmund,
46,3,23/10/2024 16:45,Stadio di Bergamo,Atalanta,Celtic,
47,3,23/10/2024 16:45,Stade du Roudourou,Brest,Leverkusen,
48,3,23/10/2024 19:00,City of Manchester Stadium,Man City,Sparta Praha,
49,3,23/10/2024 19:00,RB Arena,Leipzig,Liverpool,
50,3,23/10/2024 19:00,Estadi Olímpic Lluís Companys,Barcelona,Bayern München,
51,3,23/10/2024 19:00,Estadio Metropolitano,Atleti,Lille,
52,3,23/10/2024 19:00,Estádio do SL Benfica,Benfica,Feyenoord,
53,3,23/10/2024 19:00,Stadion Salzburg,Salzburg,GNK Dinamo,
54,3,23/10/2024 19:00,Stadion Wankdorf,Young Boys,Inter,
55,4,05/11/2024 17:45,PSV Stadion,PSV,Girona,
56,4,05/11/2024 17:45,Národný futbalový štadión,S. Bratislava,GNK Dinamo,
57,4,05/11/2024 20:00,Estadio Santiago Bernabéu,Real Madrid,Milan,
58,4,05/11/2024 20:00,Anfield,Liverpool,Leverkusen,
59,4,05/11/2024 20:00,BVB Stadion Dortmund,B. Dortmund,Sturm Graz,
60,4,05/11/2024 20:00,Estádio José Alvalade,Sporting CP,Man City,
61,4,05/11/2024 20:00,Stade Pierre Mauroy,Lille,Juventus,
62,4,05/11/2024 20:00,Celtic Park,Celtic,Leipzig,
63,4,05/11/2024 20:00,Stadio Renato Dall'Ara,Bologna,Monaco,
64,4,06/11/2024 17:45,Jan Breydelstadion,Club Brugge,Aston Villa,
65,4,06/11/2024 17:45,Arena AufSchalke,Shakhtar,Young Boys,
66,4,06/11/2024 20:00,Fußball Arena München,Bayern München,Benfica,
67,4,06/11/2024 20:00,Parc des Princes,Paris,Atleti,
68,4,06/11/2024 20:00,Stadio San Siro,Inter,Arsenal,
69,4,06/11/2024 20:00,Stadion Feijenoord 'De Kuip',Feyenoord,Salzburg,
70,4,06/11/2024 20:00,Stadion Rajko Mitic,Crvena Zvezda,Barcelona,
71,4,06/11/2024 20:00,Stadion Letná,Sparta Praha,Brest,
72,4,06/11/2024 20:00,Arena Stuttgart,Stuttgart,Atalanta,
73,5,26/11/2024 17:45,Národný futbalový štadión,S. Bratislava,Milan,
74,5,26/11/2024 17:45,Stadion Letná,Sparta Praha,Atleti,
75,5,26/11/2024 20:00,City of Manchester Stadium,Man City,Feyenoord,
76,5,26/11/2024 20:00,Fußball Arena München,Bayern München,Paris,
77,5,26/11/2024 20:00,Stadio San Siro,Inter,Leipzig,
78,5,26/11/2024 20:00,Estadi Olímpic Lluís Companys,Barcelona,Brest,
79,5,26/11/2024 20:00,BayArena,Leverkusen,Salzburg,
80,5,26/11/2024 20:00,Estádio José Alvalade,Sporting CP,Arsenal,
81,5,26/11/2024 20:00,Stadion Wankdorf,Young Boys,Atalanta,
82,5,27/11/2024 17:45,Stadion Rajko Mitic,Crvena Zvezda,Stuttgart,
83,5,27/11/2024 17:45,Wörthersee Stadion,Sturm Graz,Girona,
84,5,27/11/2024 20:00,Anfield,Liverpool,Real Madrid,
85,5,27/11/2024 20:00,PSV Stadion,PSV,Shakhtar,
86,5,27/11/2024 20:00,Stadion Maksimir,GNK Dinamo,B. Dortmund,
87,5,27/11/2024 20:00,Celtic Park,Celtic,Club Brugge,
88,5,27/11/2024 20:00,Stade Louis II,Monaco,Benfica,
89,5,27/11/2024 20:00,Villa Park,Aston Villa,Juventus,
90,5,27/11/2024 20:00,Stadio Renato Dall'Ara,Bologna,Lille,
91,6,10/12/2024 17:45,Stadion Maksimir,GNK Dinamo,Celtic,
92,6,10/12/2024 17:45,Estadi Municipal de Montilivi,Girona,Liverpool,
93,6,10/12/2024 20:00,RB Arena,Leipzig,Aston Villa,
94,6,10/12/2024 20:00,BayArena,Leverkusen,Inter,
95,6,10/12/2024 20:00,Stadio di Bergamo,Atalanta,Real Madrid,
96,6,10/12/2024 20:00,Jan Breydelstadion,Club Brugge,Sporting CP,
97,6,10/12/2024 20:00,Arena AufSchalke,Shakhtar,Bayern München,
98,6,10/12/2024 20:00,Stadion Salzburg,Salzburg,Paris,
99,6,10/12/2024 20:00,Stade du Roudourou,Brest,PSV,
100,6,11/12/2024 17:45,Estadio Metropolitano,Atleti,S. Bratislava,
101,6,11/12/2024 17:45,Stade Pierre Mauroy,Lille,Sturm Graz,
102,6,11/12/2024 20:00,BVB Stadion Dortmund,B. Dortmund,Barcelona,
103,6,11/12/2024 20:00,Juventus Stadium,Juventus,Man City,
104,6,11/12/2024 20:00,Estádio do SL Benfica,Benfica,Bologna,
105,6,11/12/2024 20:00,Arsenal Stadium,Arsenal,Monaco,
106,6,11/12/2024 20:00,Stadio San Siro,Milan,Crvena Zvezda,
107,6,11/12/2024 20:00,Stadion Feijenoord 'De Kuip',Feyenoord,Sparta Praha,
108,6,11/12/2024 20:00,Arena Stuttgart,Stuttgart,Young Boys,
109,7,21/01/2025 17:45,Stadio di Bergamo,Atalanta,Sturm Graz,
110,7,21/01/2025 17:45,Stade Louis II,Monaco,Aston Villa,
111,7,21/01/2025 20:00,Národný futbalový štadión,S. Bratislava,Stuttgart,
112,7,21/01/2025 20:00,Jan Breydelstadion,Club Brugge,Juventus,
113,7,21/01/2025 20:00,Estadio Metropolitano,Atleti,Leverkusen,
114,7,21/01/2025 20:00,Estádio do SL Benfica,Benfica,Barcelona,
115,7,21/01/2025 20:00,Anfield,Liverpool,Lille,
116,7,21/01/2025 20:00,Stadio Renato Dall'Ara,Bologna,B. Dortmund,
117,7,21/01/2025 20:00,Stadion Rajko Mitic,Crvena Zvezda,PSV,
118,7,22/01/2025 17:45,RB Arena,Leipzig,Sporting CP,
119,7,22/01/2025 17:45,Arena AufSchalke,Shakhtar,Brest,
120,7,22/01/2025 20:00,Estadio Santiago Bernabéu,Real Madrid,Salzburg,
121,7,22/01/2025 20:00,Parc des Princes,Paris,Man City,
122,7,22/01/2025 20:00,Stadion Letná,Sparta Praha,Inter,
123,7,22/01/2025 20:00,Arsenal Stadium,Arsenal,GNK Dinamo,
124,7,22/01/2025 20:00,Celtic Park,Celtic,Young Boys,
125,7,22/01/2025 20:00,Stadion Feijenoord 'De Kuip',Feyenoord,Bayern München,
126,7,22/01/2025 20:00,Stadio San Siro,Milan,Girona,
